"","Point","Method","Strike","Value"
"1","3M10Y","ATM",0.0266,0.408257162283479
"2","3M10Y","ATM",0.01,0.727143569029609
"3","3M10Y","ATM",0.015,0.573993015493346
"4","3M10Y","ATM",0.02,0.474335203861662
"5","3M10Y","ATM",0.025,0.41756727749775
"6","3M10Y","ATM",0.03,0.400707113827083
"7","3M10Y","ATM",0.035,0.409508843181311
"8","3M10Y","ATM",0.04,0.428203494090025
"9","3M10Y","ATM",0.05,0.469435537993485
"10","3M10Y","ATM",0.06,0.505914613254592
"11","3M10Y","ATM",0.07,0.536644385127264
"12","3M10Y","ATM",0.08,0.562637436578013
"13","3M10Y","ATM",0.09,0.584903647714141
"14","3M10Y","ATM",0.1,0.604227818284336
"15","3M10Y","FULL",0.0266,0.409826746083795
"16","3M10Y","FULL",0.01,0.727005725772386
"17","3M10Y","FULL",0.015,0.574495941627479
"18","3M10Y","FULL",0.02,0.47542479243992
"19","3M10Y","FULL",0.025,0.419082824284316
"20","3M10Y","FULL",0.03,0.402235943523874
"21","3M10Y","FULL",0.035,0.410759667395745
"22","3M10Y","FULL",0.04,0.429146707501341
"23","3M10Y","FULL",0.05,0.469909301756958
"24","3M10Y","FULL",0.06,0.506069555005927
"25","3M10Y","FULL",0.07,0.536565432731921
"26","3M10Y","FULL",0.08,0.562375819499419
"27","3M10Y","FULL",0.09,0.584493111724328
"28","3M10Y","FULL",0.1,0.603692139601733
"29","3M10Y","MARKET",0.0266,0.4084
"30","3M10Y","MARKET",0.01,0.7376
"31","3M10Y","MARKET",0.015,0.5685
"32","3M10Y","MARKET",0.02,0.4668
"33","3M10Y","MARKET",0.025,0.4154
"34","3M10Y","MARKET",0.03,0.4048
"35","3M10Y","MARKET",0.035,0.4161
"36","3M10Y","MARKET",0.04,0.4347
"37","3M10Y","MARKET",0.05,0.4734
"38","3M10Y","MARKET",0.06,0.5072
"39","3M10Y","MARKET",0.07,0.5358
"40","3M10Y","MARKET",0.08,0.5602
"41","3M10Y","MARKET",0.09,0.5813
"42","3M10Y","MARKET",0.1,0.5998
"43","5Y10Y","ATM",0.027,0.323206093456183
"44","5Y10Y","ATM",0.01,0.509421272172289
"45","5Y10Y","ATM",0.015,0.427796080026859
"46","5Y10Y","ATM",0.02,0.373235770359929
"47","5Y10Y","ATM",0.025,0.335030920347432
"48","5Y10Y","ATM",0.03,0.308550830898849
"49","5Y10Y","ATM",0.035,0.291050856605919
"50","5Y10Y","ATM",0.04,0.280310325472711
"51","5Y10Y","ATM",0.05,0.271618729233459
"52","5Y10Y","ATM",0.06,0.271486342581125
"53","5Y10Y","ATM",0.07,0.274628897660132
"54","5Y10Y","ATM",0.08,0.278887530121109
"55","5Y10Y","ATM",0.09,0.283400658137787
"56","5Y10Y","ATM",0.1,0.287822845812464
"57","5Y10Y","FULL",0.027,0.326364969819066
"58","5Y10Y","FULL",0.01,0.509857756064495
"59","5Y10Y","FULL",0.015,0.429414958836621
"60","5Y10Y","FULL",0.02,0.375710803839613
"61","5Y10Y","FULL",0.025,0.338059876020928
"62","5Y10Y","FULL",0.03,0.311801772763359
"63","5Y10Y","FULL",0.035,0.294196270880732
"64","5Y10Y","FULL",0.04,0.283101016912119
"65","5Y10Y","FULL",0.05,0.273399756181176
"66","5Y10Y","FULL",0.06,0.272308572880312
"67","5Y10Y","FULL",0.07,0.274682254146367
"68","5Y10Y","FULL",0.08,0.278336831490951
"69","5Y10Y","FULL",0.09,0.282367302773334
"70","5Y10Y","FULL",0.1,0.286394638439548
"71","5Y10Y","MARKET",0.027,0.3233
"72","5Y10Y","MARKET",0.01,0.5187
"73","5Y10Y","MARKET",0.015,0.4249
"74","5Y10Y","MARKET",0.02,0.3696
"75","5Y10Y","MARKET",0.025,0.3344
"76","5Y10Y","MARKET",0.03,0.3115
"77","5Y10Y","MARKET",0.035,0.2967
"78","5Y10Y","MARKET",0.04,0.2873
"79","5Y10Y","MARKET",0.05,0.2781
"80","5Y10Y","MARKET",0.06,0.2754
"81","5Y10Y","MARKET",0.07,0.2757
"82","5Y10Y","MARKET",0.08,0.2774
"83","5Y10Y","MARKET",0.09,0.2796
"84","5Y10Y","MARKET",0.1,0.2821
"85","5Y5Y","ATM",0.0263,0.373367746072442
"86","5Y5Y","ATM",0.01,0.58090599205953
"87","5Y5Y","ATM",0.015,0.488777597055159
"88","5Y5Y","ATM",0.02,0.426758726767484
"89","5Y5Y","ATM",0.025,0.382631239189297
"90","5Y5Y","ATM",0.03,0.351124860168324
"91","5Y5Y","ATM",0.035,0.329268742171655
"92","5Y5Y","ATM",0.04,0.314831793751911
"93","5Y5Y","ATM",0.05,0.300757632880887
"94","5Y5Y","ATM",0.06,0.297396686800923
"95","5Y5Y","ATM",0.07,0.298625674063671
"96","5Y5Y","ATM",0.08,0.30170981224728
"97","5Y5Y","ATM",0.09,0.305470661953022
"98","5Y5Y","ATM",0.1,0.309392573922539
"99","5Y5Y","FULL",0.0263,0.377443182140349
"100","5Y5Y","FULL",0.01,0.581950722087705
"101","5Y5Y","FULL",0.015,0.491179993953761
"102","5Y5Y","FULL",0.02,0.430125535259647
"103","5Y5Y","FULL",0.025,0.386608672253972
"104","5Y5Y","FULL",0.03,0.355336418213457
"105","5Y5Y","FULL",0.035,0.333340846534496
"106","5Y5Y","FULL",0.04,0.318465274094294
"107","5Y5Y","FULL",0.05,0.303103248423384
"108","5Y5Y","FULL",0.06,0.298477775900912
"109","5Y5Y","FULL",0.07,0.298681000013686
"110","5Y5Y","FULL",0.08,0.300960150813353
"111","5Y5Y","FULL",0.09,0.304081544005702
"112","5Y5Y","FULL",0.1,0.307484002247839
"113","5Y5Y","MARKET",0.0263,0.3735
"114","5Y5Y","MARKET",0.01,0.5933
"115","5Y5Y","MARKET",0.015,0.4856
"116","5Y5Y","MARKET",0.02,0.4225
"117","5Y5Y","MARKET",0.025,0.3819
"118","5Y5Y","MARKET",0.03,0.3546
"119","5Y5Y","MARKET",0.035,0.3361
"120","5Y5Y","MARKET",0.04,0.3235
"121","5Y5Y","MARKET",0.05,0.3091
"122","5Y5Y","MARKET",0.06,0.3027
"123","5Y5Y","MARKET",0.07,0.3003
"124","5Y5Y","MARKET",0.08,0.2999
"125","5Y5Y","MARKET",0.09,0.3006
"126","5Y5Y","MARKET",0.1,0.3019
"127","6M1Y","ATM",0.0299,0.424173550511199
"128","6M1Y","ATM",0.01,0.748239640170919
"129","6M1Y","ATM",0.015,0.613854241985928
"130","6M1Y","ATM",0.02,0.523436182184351
"131","6M1Y","ATM",0.025,0.461808308063323
"132","6M1Y","ATM",0.03,0.42361667988432
"133","6M1Y","ATM",0.035,0.404956241751448
"134","6M1Y","ATM",0.04,0.40021882264897
"135","6M1Y","ATM",0.05,0.410960776232287
"136","6M1Y","ATM",0.06,0.429707364155178
"137","6M1Y","ATM",0.07,0.448661279693115
"138","6M1Y","ATM",0.08,0.466029980108197
"139","6M1Y","ATM",0.09,0.481567744499561
"140","6M1Y","ATM",0.1,0.495416757574182
"141","6M1Y","FULL",0.0299,0.425548400225641
"142","6M1Y","FULL",0.01,0.748022079302669
"143","6M1Y","FULL",0.015,0.61420188718828
"144","6M1Y","FULL",0.02,0.524252190036633
"145","6M1Y","FULL",0.025,0.462991219064855
"146","6M1Y","FULL",0.03,0.4249932147784
"147","6M1Y","FULL",0.035,0.40630458597459
"148","6M1Y","FULL",0.04,0.401381392257435
"149","6M1Y","FULL",0.05,0.411655200536542
"150","6M1Y","FULL",0.06,0.430023442170855
"151","6M1Y","FULL",0.07,0.448695265518942
"152","6M1Y","FULL",0.08,0.465846915370919
"153","6M1Y","FULL",0.09,0.481211070796537
"154","6M1Y","FULL",0.1,0.494916721687396
"155","6M1Y","MARKET",0.0299,0.4243
"156","6M1Y","MARKET",0.01,0.7613
"157","6M1Y","MARKET",0.015,0.6082
"158","6M1Y","MARKET",0.02,0.5143
"159","6M1Y","MARKET",0.025,0.4562
"160","6M1Y","MARKET",0.03,0.4241
"161","6M1Y","MARKET",0.035,0.4104
"162","6M1Y","MARKET",0.04,0.4081
"163","6M1Y","MARKET",0.05,0.4182
"164","6M1Y","MARKET",0.06,0.4338
"165","6M1Y","MARKET",0.07,0.4495
"166","6M1Y","MARKET",0.08,0.4639
"167","6M1Y","MARKET",0.09,0.477
"168","6M1Y","MARKET",0.1,0.4887
